[ 2014-11-14T09:31:26+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2014-11-14T09:31:26+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001753s ]
[ 2014-11-14T09:31:26+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001933s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | SQL: SHOW COLUMNS FROM `tb_user` [ RunTime:0.012734s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `tb_user` LIMIT 1   [ RunTime:0.042653s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | SQL: SELECT `userid`,`username`,`useremail`,`usertel` FROM `tb_user` ORDER BY userid asc LIMIT 0,5   [ RunTime:0.002417s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_template ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.005246s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005464s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run ParseTemplate Behavior [ RunTime:0.043518s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043753s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_filter ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run ContentReplace Behavior [ RunTime:0.003308s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run TokenBuild Behavior [ RunTime:0.003375s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002956s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.003523s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013655s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_end ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.003829s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.004021s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.003061s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.003448s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001718s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001894s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `tb_user` [ RunTime:0.008120s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `tb_user` LIMIT 1   [ RunTime:0.005538s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | SQL: SELECT `userid`,`username`,`useremail`,`usertel` FROM `tb_user` ORDER BY userid asc LIMIT 0,5   [ RunTime:0.000813s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001202s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001393s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.049862s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050124s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.002624s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.002206s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001173s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001890s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008625s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.001914s ]
[ 2014-11-14T09:31:27+08:00 ] /test/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.002143s ]
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.027386s ]
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.027746s ]
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014964s ]
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015250s ]
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-14T19:44:30+08:00 ] /test/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004101s ]
