[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000668s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000735s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  lastmodifytime IndexAction.class.php 第 112 行.
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001334s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001481s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.039696s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039900s ]
[ 2014-11-10T10:22:55+08:00 ] /test/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
