[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002966s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.003467s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002816s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003497s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013144s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.009958s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.010122s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002607s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002838s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001584s ]
[ 2014-11-21T15:34:13+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001722s ]
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run CheckRoute Behavior [ RunTime:0.002531s ]
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002758s ]
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001575s ]
[ 2014-11-21T15:34:15+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001710s ]
[ 2014-11-21T15:34:16+08:00 ] /test/index.php/Login/sendmail/ | NOTIC: [2] mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() class.phpmailer.php 第 677 行.
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002552s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002777s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001581s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001715s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001147s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001304s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.026101s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026275s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001069s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001179s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000851s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002146s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005631s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001404s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001541s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002523s ]
[ 2014-11-21T15:34:38+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002749s ]
